Mon,Tue,Wed,Thu,Fri,Sat,Time of Day,hour_sin,hour_cos,congestion_scale_jb,congestion_scale_wdlands,month,exact_date_value,week_value,date_sin,date_cos,day_of_year,day_of_year_sin,day_of_year_cos,full_date_ymd,sch_hol_period,public_hol_period
0.0,0.0,1.0,0.0,0.0,0.0,16.0,-0.8660254037844385,-0.5000000000000004,0.0,4.0,11,20,3,-0.7907757369376986,-0.6121059825476627,325,0.3375228995941133,0.9413173175128472,2024-11-20,False,False
0.0,0.0,1.0,0.0,0.0,0.0,17.0,-0.9659258262890684,-0.2588190451025206,0.0,5.0,11,20,3,-0.7907757369376986,-0.6121059825476627,325,0.3375228995941133,0.9413173175128472,2024-11-20,False,False
0.0,0.0,1.0,0.0,0.0,0.0,18.0,-1.0,-1.8369701987210294e-16,0.0,0.0,11,20,3,-0.7907757369376986,-0.6121059825476627,325,0.3375228995941133,0.9413173175128472,2024-11-20,False,False
0.0,0.0,1.0,0.0,0.0,0.0,19.0,-0.9659258262890684,0.2588190451025203,0.0,0.0,11,20,3,-0.7907757369376986,-0.6121059825476627,325,0.3375228995941133,0.9413173175128472,2024-11-20,False,False
0.0,0.0,1.0,0.0,0.0,0.0,20.0,-0.8660254037844386,0.5000000000000001,0.0,1.0,11,20,3,-0.7907757369376986,-0.6121059825476627,325,0.3375228995941133,0.9413173175128472,2024-11-20,False,False
0.0,0.0,1.0,0.0,0.0,0.0,21.0,-0.7071067811865477,0.7071067811865474,0.0,0.0,11,20,3,-0.7907757369376986,-0.6121059825476627,325,0.3375228995941133,0.9413173175128472,2024-11-20,False,False
0.0,0.0,1.0,0.0,0.0,0.0,22.0,-0.5000000000000004,0.8660254037844384,0.0,3.0,11,20,3,-0.7907757369376986,-0.6121059825476627,325,0.3375228995941133,0.9413173175128472,2024-11-20,False,False
0.0,0.0,1.0,0.0,0.0,0.0,23.0,-0.2588190451025215,0.965925826289068,0.0,4.0,11,20,3,-0.7907757369376986,-0.6121059825476627,325,0.3375228995941133,0.9413173175128472,2024-11-20,False,False
0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,11,21,4,-0.8978045395707417,-0.4403941515576342,326,0.3536761221763716,0.9353679493131484,2024-11-21,False,False
0.0,0.0,0.0,1.0,0.0,0.0,1.0,0.2588190451025207,0.9659258262890684,0.0,0.0,11,21,4,-0.8978045395707417,-0.4403941515576342,326,0.3536761221763716,0.9353679493131484,2024-11-21,False,False
0.0,0.0,0.0,1.0,0.0,0.0,2.0,0.4999999999999999,0.8660254037844387,0.0,0.0,11,21,4,-0.8978045395707417,-0.4403941515576342,326,0.3536761221763716,0.9353679493131484,2024-11-21,False,False
0.0,0.0,0.0,1.0,0.0,0.0,3.0,0.7071067811865476,0.7071067811865476,0.0,0.0,11,21,4,-0.8978045395707417,-0.4403941515576342,326,0.3536761221763716,0.9353679493131484,2024-11-21,False,False
0.0,0.0,0.0,1.0,0.0,0.0,4.0,0.8660254037844386,0.5000000000000001,0.0,0.0,11,21,4,-0.8978045395707417,-0.4403941515576342,326,0.3536761221763716,0.9353679493131484,2024-11-21,False,False
0.0,0.0,0.0,1.0,0.0,0.0,5.0,0.9659258262890684,0.2588190451025207,0.0,1.0,11,21,4,-0.8978045395707417,-0.4403941515576342,326,0.3536761221763716,0.9353679493131484,2024-11-21,False,False
0.0,0.0,0.0,1.0,0.0,0.0,6.0,1.0,6.123233995736766e-17,0.0,1.0,11,21,4,-0.8978045395707417,-0.4403941515576342,326,0.3536761221763716,0.9353679493131484,2024-11-21,False,False
0.0,0.0,0.0,1.0,0.0,0.0,7.0,0.9659258262890684,-0.2588190451025206,0.0,1.0,11,21,4,-0.8978045395707417,-0.4403941515576342,326,0.3536761221763716,0.9353679493131484,2024-11-21,False,False
0.0,0.0,0.0,1.0,0.0,0.0,8.0,0.8660254037844387,-0.4999999999999998,0.0,0.0,11,21,4,-0.8978045395707417,-0.4403941515576342,326,0.3536761221763716,0.9353679493131484,2024-11-21,False,False
0.0,0.0,0.0,1.0,0.0,0.0,9.0,0.7071067811865476,-0.7071067811865475,1.0,1.0,11,21,4,-0.8978045395707417,-0.4403941515576342,326,0.3536761221763716,0.9353679493131484,2024-11-21,False,False
0.0,0.0,0.0,1.0,0.0,0.0,10.0,0.4999999999999999,-0.8660254037844387,5.0,1.0,11,21,4,-0.8978045395707417,-0.4403941515576342,326,0.3536761221763716,0.9353679493131484,2024-11-21,False,False
0.0,0.0,0.0,1.0,0.0,0.0,11.0,0.258819045102521,-0.9659258262890682,5.0,1.0,11,21,4,-0.8978045395707417,-0.4403941515576342,326,0.3536761221763716,0.9353679493131484,2024-11-21,False,False
0.0,0.0,0.0,1.0,0.0,0.0,12.0,1.2246467991473532e-16,-1.0,5.0,1.0,11,21,4,-0.8978045395707417,-0.4403941515576342,326,0.3536761221763716,0.9353679493131484,2024-11-21,False,False
0.0,0.0,0.0,1.0,0.0,0.0,13.0,-0.2588190451025208,-0.9659258262890684,5.0,1.0,11,21,4,-0.8978045395707417,-0.4403941515576342,326,0.3536761221763716,0.9353679493131484,2024-11-21,False,False
0.0,0.0,0.0,1.0,0.0,0.0,14.0,-0.4999999999999997,-0.8660254037844388,5.0,0.0,11,21,4,-0.8978045395707417,-0.4403941515576342,326,0.3536761221763716,0.9353679493131484,2024-11-21,False,False
0.0,0.0,0.0,1.0,0.0,0.0,15.0,-0.7071067811865471,-0.7071067811865479,5.0,0.0,11,21,4,-0.8978045395707417,-0.4403941515576342,326,0.3536761221763716,0.9353679493131484,2024-11-21,False,False
0.0,0.0,0.0,1.0,0.0,0.0,16.0,-0.8660254037844385,-0.5000000000000004,3.0,5.0,11,21,4,-0.8978045395707417,-0.4403941515576342,326,0.3536761221763716,0.9353679493131484,2024-11-21,False,False
0.0,0.0,0.0,1.0,0.0,0.0,17.0,-0.9659258262890684,-0.2588190451025206,1.0,5.0,11,21,4,-0.8978045395707417,-0.4403941515576342,326,0.3536761221763716,0.9353679493131484,2024-11-21,False,False
0.0,0.0,0.0,1.0,0.0,0.0,18.0,-1.0,-1.8369701987210294e-16,1.0,4.0,11,21,4,-0.8978045395707417,-0.4403941515576342,326,0.3536761221763716,0.9353679493131484,2024-11-21,False,False
0.0,0.0,0.0,1.0,0.0,0.0,19.0,-0.9659258262890684,0.2588190451025203,0.0,1.0,11,21,4,-0.8978045395707417,-0.4403941515576342,326,0.3536761221763716,0.9353679493131484,2024-11-21,False,False
0.0,0.0,0.0,1.0,0.0,0.0,20.0,-0.8660254037844386,0.5000000000000001,0.0,4.0,11,21,4,-0.8978045395707417,-0.4403941515576342,326,0.3536761221763716,0.9353679493131484,2024-11-21,False,False
0.0,0.0,0.0,1.0,0.0,0.0,21.0,-0.7071067811865477,0.7071067811865474,0.0,0.0,11,21,4,-0.8978045395707417,-0.4403941515576342,326,0.3536761221763716,0.9353679493131484,2024-11-21,False,False
0.0,0.0,0.0,1.0,0.0,0.0,22.0,-0.5000000000000004,0.8660254037844384,0.0,1.0,11,21,4,-0.8978045395707417,-0.4403941515576342,326,0.3536761221763716,0.9353679493131484,2024-11-21,False,False
0.0,0.0,0.0,1.0,0.0,0.0,23.0,-0.2588190451025215,0.965925826289068,0.0,0.0,11,21,4,-0.8978045395707417,-0.4403941515576342,326,0.3536761221763716,0.9353679493131484,2024-11-21,False,False
0.0,0.0,0.0,0.0,0.0,1.0,5.0,0.9659258262890684,0.2588190451025207,0.0,0.0,11,23,4,-0.9987165071710528,-0.0506491688387135,328,0.385663406243607,0.9226395488404876,2024-11-23,True,False
0.0,0.0,0.0,0.0,0.0,1.0,6.0,1.0,6.123233995736766e-17,0.0,0.0,11,23,4,-0.9987165071710528,-0.0506491688387135,328,0.385663406243607,0.9226395488404876,2024-11-23,True,False
0.0,0.0,0.0,0.0,0.0,1.0,7.0,0.9659258262890684,-0.2588190451025206,2.0,2.0,11,23,4,-0.9987165071710528,-0.0506491688387135,328,0.385663406243607,0.9226395488404876,2024-11-23,True,False
0.0,0.0,0.0,0.0,0.0,1.0,8.0,0.8660254037844387,-0.4999999999999998,5.0,1.0,11,23,4,-0.9987165071710528,-0.0506491688387135,328,0.385663406243607,0.9226395488404876,2024-11-23,True,False
0.0,0.0,0.0,0.0,0.0,1.0,9.0,0.7071067811865476,-0.7071067811865475,5.0,1.0,11,23,4,-0.9987165071710528,-0.0506491688387135,328,0.385663406243607,0.9226395488404876,2024-11-23,True,False
0.0,0.0,0.0,0.0,0.0,1.0,10.0,0.4999999999999999,-0.8660254037844387,5.0,5.0,11,23,4,-0.9987165071710528,-0.0506491688387135,328,0.385663406243607,0.9226395488404876,2024-11-23,True,False
0.0,0.0,0.0,0.0,0.0,1.0,11.0,0.258819045102521,-0.9659258262890682,5.0,0.0,11,23,4,-0.9987165071710528,-0.0506491688387135,328,0.385663406243607,0.9226395488404876,2024-11-23,True,False
0.0,0.0,0.0,0.0,0.0,1.0,12.0,1.2246467991473532e-16,-1.0,5.0,0.0,11,23,4,-0.9987165071710528,-0.0506491688387135,328,0.385663406243607,0.9226395488404876,2024-11-23,True,False
0.0,0.0,0.0,0.0,0.0,1.0,13.0,-0.2588190451025208,-0.9659258262890684,5.0,2.0,11,23,4,-0.9987165071710528,-0.0506491688387135,328,0.385663406243607,0.9226395488404876,2024-11-23,True,False
0.0,0.0,0.0,0.0,0.0,1.0,14.0,-0.4999999999999997,-0.8660254037844388,5.0,0.0,11,23,4,-0.9987165071710528,-0.0506491688387135,328,0.385663406243607,0.9226395488404876,2024-11-23,True,False
0.0,0.0,0.0,0.0,0.0,1.0,15.0,-0.7071067811865471,-0.7071067811865479,0.0,0.0,11,23,4,-0.9987165071710528,-0.0506491688387135,328,0.385663406243607,0.9226395488404876,2024-11-23,True,False
0.0,0.0,0.0,0.0,0.0,1.0,16.0,-0.8660254037844385,-0.5000000000000004,5.0,5.0,11,23,4,-0.9987165071710528,-0.0506491688387135,328,0.385663406243607,0.9226395488404876,2024-11-23,True,False
0.0,0.0,0.0,0.0,0.0,1.0,17.0,-0.9659258262890684,-0.2588190451025206,5.0,5.0,11,23,4,-0.9987165071710528,-0.0506491688387135,328,0.385663406243607,0.9226395488404876,2024-11-23,True,False
0.0,0.0,0.0,0.0,0.0,1.0,18.0,-1.0,-1.8369701987210294e-16,2.0,0.0,11,23,4,-0.9987165071710528,-0.0506491688387135,328,0.385663406243607,0.9226395488404876,2024-11-23,True,False
0.0,0.0,0.0,0.0,0.0,1.0,19.0,-0.9659258262890684,0.2588190451025203,1.0,0.0,11,23,4,-0.9987165071710528,-0.0506491688387135,328,0.385663406243607,0.9226395488404876,2024-11-23,True,False
0.0,0.0,0.0,0.0,0.0,1.0,20.0,-0.8660254037844386,0.5000000000000001,1.0,0.0,11,23,4,-0.9987165071710528,-0.0506491688387135,328,0.385663406243607,0.9226395488404876,2024-11-23,True,False
0.0,0.0,0.0,0.0,0.0,1.0,21.0,-0.7071067811865477,0.7071067811865474,0.0,0.0,11,23,4,-0.9987165071710528,-0.0506491688387135,328,0.385663406243607,0.9226395488404876,2024-11-23,True,False
0.0,0.0,0.0,0.0,0.0,1.0,22.0,-0.5000000000000004,0.8660254037844384,0.0,0.0,11,23,4,-0.9987165071710528,-0.0506491688387135,328,0.385663406243607,0.9226395488404876,2024-11-23,True,False
0.0,0.0,0.0,0.0,0.0,1.0,23.0,-0.2588190451025215,0.965925826289068,0.0,0.0,11,23,4,-0.9987165071710528,-0.0506491688387135,328,0.385663406243607,0.9226395488404876,2024-11-23,True,False
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,2.0,11,24,4,-0.9884683243281114,0.1514277775045766,329,0.401487989205973,0.9158642882672872,2024-11-24,True,False
0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.2588190451025207,0.9659258262890684,0.0,0.0,11,24,4,-0.9884683243281114,0.1514277775045766,329,0.401487989205973,0.9158642882672872,2024-11-24,True,False
0.0,0.0,0.0,0.0,0.0,0.0,2.0,0.4999999999999999,0.8660254037844387,0.0,0.0,11,24,4,-0.9884683243281114,0.1514277775045766,329,0.401487989205973,0.9158642882672872,2024-11-24,True,False
0.0,0.0,0.0,0.0,0.0,0.0,3.0,0.7071067811865476,0.7071067811865476,0.0,0.0,11,24,4,-0.9884683243281114,0.1514277775045766,329,0.401487989205973,0.9158642882672872,2024-11-24,True,False
0.0,0.0,0.0,0.0,0.0,0.0,4.0,0.8660254037844386,0.5000000000000001,0.0,0.0,11,24,4,-0.9884683243281114,0.1514277775045766,329,0.401487989205973,0.9158642882672872,2024-11-24,True,False
0.0,0.0,0.0,0.0,0.0,0.0,5.0,0.9659258262890684,0.2588190451025207,0.0,0.0,11,24,4,-0.9884683243281114,0.1514277775045766,329,0.401487989205973,0.9158642882672872,2024-11-24,True,False
0.0,0.0,0.0,0.0,0.0,0.0,6.0,1.0,6.123233995736766e-17,0.0,0.0,11,24,4,-0.9884683243281114,0.1514277775045766,329,0.401487989205973,0.9158642882672872,2024-11-24,True,False
0.0,0.0,0.0,0.0,0.0,0.0,7.0,0.9659258262890684,-0.2588190451025206,0.0,0.0,11,24,4,-0.9884683243281114,0.1514277775045766,329,0.401487989205973,0.9158642882672872,2024-11-24,True,False
0.0,0.0,0.0,0.0,0.0,0.0,8.0,0.8660254037844387,-0.4999999999999998,2.0,0.0,11,24,4,-0.9884683243281114,0.1514277775045766,329,0.401487989205973,0.9158642882672872,2024-11-24,True,False
0.0,0.0,0.0,0.0,0.0,0.0,9.0,0.7071067811865476,-0.7071067811865475,5.0,0.0,11,24,4,-0.9884683243281114,0.1514277775045766,329,0.401487989205973,0.9158642882672872,2024-11-24,True,False
0.0,0.0,0.0,0.0,0.0,0.0,10.0,0.4999999999999999,-0.8660254037844387,5.0,4.0,11,24,4,-0.9884683243281114,0.1514277775045766,329,0.401487989205973,0.9158642882672872,2024-11-24,True,False
0.0,0.0,0.0,0.0,0.0,0.0,11.0,0.258819045102521,-0.9659258262890682,4.0,4.0,11,24,4,-0.9884683243281114,0.1514277775045766,329,0.401487989205973,0.9158642882672872,2024-11-24,True,False
0.0,0.0,0.0,0.0,0.0,0.0,12.0,1.2246467991473532e-16,-1.0,3.0,5.0,11,24,4,-0.9884683243281114,0.1514277775045766,329,0.401487989205973,0.9158642882672872,2024-11-24,True,False
0.0,0.0,0.0,0.0,0.0,0.0,13.0,-0.2588190451025208,-0.9659258262890684,0.0,0.0,11,24,4,-0.9884683243281114,0.1514277775045766,329,0.401487989205973,0.9158642882672872,2024-11-24,True,False
0.0,0.0,0.0,0.0,0.0,0.0,14.0,-0.4999999999999997,-0.8660254037844388,0.0,0.0,11,24,4,-0.9884683243281114,0.1514277775045766,329,0.401487989205973,0.9158642882672872,2024-11-24,True,False
0.0,0.0,0.0,0.0,0.0,0.0,15.0,-0.7071067811865471,-0.7071067811865479,0.0,0.0,11,24,4,-0.9884683243281114,0.1514277775045766,329,0.401487989205973,0.9158642882672872,2024-11-24,True,False
0.0,0.0,0.0,0.0,0.0,0.0,16.0,-0.8660254037844385,-0.5000000000000004,0.0,2.0,11,24,4,-0.9884683243281114,0.1514277775045766,329,0.401487989205973,0.9158642882672872,2024-11-24,True,False
0.0,0.0,0.0,0.0,0.0,0.0,17.0,-0.9659258262890684,-0.2588190451025206,0.0,5.0,11,24,4,-0.9884683243281114,0.1514277775045766,329,0.401487989205973,0.9158642882672872,2024-11-24,True,False
0.0,0.0,0.0,0.0,0.0,0.0,18.0,-1.0,-1.8369701987210294e-16,0.0,0.0,11,24,4,-0.9884683243281114,0.1514277775045766,329,0.401487989205973,0.9158642882672872,2024-11-24,True,False
0.0,0.0,0.0,0.0,0.0,0.0,19.0,-0.9659258262890684,0.2588190451025203,2.0,0.0,11,24,4,-0.9884683243281114,0.1514277775045766,329,0.401487989205973,0.9158642882672872,2024-11-24,True,False
0.0,0.0,0.0,0.0,0.0,0.0,20.0,-0.8660254037844386,0.5000000000000001,0.0,0.0,11,24,4,-0.9884683243281114,0.1514277775045766,329,0.401487989205973,0.9158642882672872,2024-11-24,True,False
0.0,0.0,0.0,0.0,0.0,0.0,21.0,-0.7071067811865477,0.7071067811865474,0.0,0.0,11,24,4,-0.9884683243281114,0.1514277775045766,329,0.401487989205973,0.9158642882672872,2024-11-24,True,False
0.0,0.0,0.0,0.0,0.0,0.0,22.0,-0.5000000000000004,0.8660254037844384,0.0,0.0,11,24,4,-0.9884683243281114,0.1514277775045766,329,0.401487989205973,0.9158642882672872,2024-11-24,True,False
0.0,0.0,0.0,0.0,0.0,0.0,23.0,-0.2588190451025215,0.965925826289068,0.0,0.0,11,24,4,-0.9884683243281114,0.1514277775045766,329,0.401487989205973,0.9158642882672872,2024-11-24,True,False
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,5.0,11,25,4,-0.9377521321470804,0.3473052528448203,330,0.4171936026123168,0.9088176373395028,2024-11-25,True,False
0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.2588190451025207,0.9659258262890684,0.0,0.0,11,25,4,-0.9377521321470804,0.3473052528448203,330,0.4171936026123168,0.9088176373395028,2024-11-25,True,False
0.0,0.0,0.0,0.0,0.0,0.0,2.0,0.4999999999999999,0.8660254037844387,0.0,0.0,11,25,4,-0.9377521321470804,0.3473052528448203,330,0.4171936026123168,0.9088176373395028,2024-11-25,True,False
0.0,0.0,0.0,0.0,0.0,0.0,3.0,0.7071067811865476,0.7071067811865476,0.0,0.0,11,25,4,-0.9377521321470804,0.3473052528448203,330,0.4171936026123168,0.9088176373395028,2024-11-25,True,False
0.0,0.0,0.0,0.0,0.0,0.0,4.0,0.8660254037844386,0.5000000000000001,0.0,0.0,11,25,4,-0.9377521321470804,0.3473052528448203,330,0.4171936026123168,0.9088176373395028,2024-11-25,True,False
0.0,0.0,0.0,0.0,0.0,0.0,5.0,0.9659258262890684,0.2588190451025207,0.0,0.0,11,25,4,-0.9377521321470804,0.3473052528448203,330,0.4171936026123168,0.9088176373395028,2024-11-25,True,False
0.0,0.0,0.0,0.0,0.0,0.0,6.0,1.0,6.123233995736766e-17,0.0,1.0,11,25,4,-0.9377521321470804,0.3473052528448203,330,0.4171936026123168,0.9088176373395028,2024-11-25,True,False
0.0,0.0,0.0,0.0,0.0,0.0,7.0,0.9659258262890684,-0.2588190451025206,0.0,5.0,11,25,4,-0.9377521321470804,0.3473052528448203,330,0.4171936026123168,0.9088176373395028,2024-11-25,True,False
0.0,0.0,0.0,0.0,0.0,0.0,8.0,0.8660254037844387,-0.4999999999999998,0.0,5.0,11,25,4,-0.9377521321470804,0.3473052528448203,330,0.4171936026123168,0.9088176373395028,2024-11-25,True,False
0.0,0.0,0.0,0.0,0.0,0.0,9.0,0.7071067811865476,-0.7071067811865475,4.0,5.0,11,25,4,-0.9377521321470804,0.3473052528448203,330,0.4171936026123168,0.9088176373395028,2024-11-25,True,False
0.0,0.0,0.0,0.0,0.0,0.0,10.0,0.4999999999999999,-0.8660254037844387,5.0,2.0,11,25,4,-0.9377521321470804,0.3473052528448203,330,0.4171936026123168,0.9088176373395028,2024-11-25,True,False
0.0,0.0,0.0,0.0,0.0,0.0,11.0,0.258819045102521,-0.9659258262890682,5.0,0.0,11,25,4,-0.9377521321470804,0.3473052528448203,330,0.4171936026123168,0.9088176373395028,2024-11-25,True,False
0.0,0.0,0.0,0.0,0.0,0.0,12.0,1.2246467991473532e-16,-1.0,5.0,1.0,11,25,4,-0.9377521321470804,0.3473052528448203,330,0.4171936026123168,0.9088176373395028,2024-11-25,True,False
0.0,0.0,0.0,0.0,0.0,0.0,13.0,-0.2588190451025208,-0.9659258262890684,5.0,2.0,11,25,4,-0.9377521321470804,0.3473052528448203,330,0.4171936026123168,0.9088176373395028,2024-11-25,True,False
0.0,0.0,0.0,0.0,0.0,0.0,14.0,-0.4999999999999997,-0.8660254037844388,4.0,0.0,11,25,4,-0.9377521321470804,0.3473052528448203,330,0.4171936026123168,0.9088176373395028,2024-11-25,True,False
0.0,0.0,0.0,0.0,0.0,0.0,15.0,-0.7071067811865471,-0.7071067811865479,0.0,0.0,11,25,4,-0.9377521321470804,0.3473052528448203,330,0.4171936026123168,0.9088176373395028,2024-11-25,True,False
0.0,0.0,0.0,0.0,0.0,0.0,16.0,-0.8660254037844385,-0.5000000000000004,4.0,0.0,11,25,4,-0.9377521321470804,0.3473052528448203,330,0.4171936026123168,0.9088176373395028,2024-11-25,True,False
0.0,0.0,0.0,0.0,0.0,0.0,17.0,-0.9659258262890684,-0.2588190451025206,0.0,0.0,11,25,4,-0.9377521321470804,0.3473052528448203,330,0.4171936026123168,0.9088176373395028,2024-11-25,True,False
0.0,0.0,0.0,0.0,0.0,0.0,18.0,-1.0,-1.8369701987210294e-16,0.0,0.0,11,25,4,-0.9377521321470804,0.3473052528448203,330,0.4171936026123168,0.9088176373395028,2024-11-25,True,False
0.0,0.0,0.0,0.0,0.0,0.0,19.0,-0.9659258262890684,0.2588190451025203,0.0,4.0,11,25,4,-0.9377521321470804,0.3473052528448203,330,0.4171936026123168,0.9088176373395028,2024-11-25,True,False
0.0,0.0,0.0,0.0,0.0,0.0,20.0,-0.8660254037844386,0.5000000000000001,0.0,2.0,11,25,4,-0.9377521321470804,0.3473052528448203,330,0.4171936026123168,0.9088176373395028,2024-11-25,True,False
0.0,0.0,0.0,0.0,0.0,0.0,21.0,-0.7071067811865477,0.7071067811865474,0.0,0.0,11,25,4,-0.9377521321470804,0.3473052528448203,330,0.4171936026123168,0.9088176373395028,2024-11-25,True,False
0.0,0.0,0.0,0.0,0.0,0.0,22.0,-0.5000000000000004,0.8660254037844384,0.0,0.0,11,25,4,-0.9377521321470804,0.3473052528448203,330,0.4171936026123168,0.9088176373395028,2024-11-25,True,False
0.0,0.0,0.0,0.0,0.0,0.0,23.0,-0.2588190451025215,0.965925826289068,0.0,0.0,11,25,4,-0.9377521321470804,0.3473052528448203,330,0.4171936026123168,0.9088176373395028,2024-11-25,True,False
0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,5.0,11,26,4,-0.8486442574947509,0.5289640103269624,331,0.4327755925504312,0.901501684131884,2024-11-26,True,False
0.0,1.0,0.0,0.0,0.0,0.0,1.0,0.2588190451025207,0.9659258262890684,0.0,1.0,11,26,4,-0.8486442574947509,0.5289640103269624,331,0.4327755925504312,0.901501684131884,2024-11-26,True,False
0.0,1.0,0.0,0.0,0.0,0.0,2.0,0.4999999999999999,0.8660254037844387,0.0,0.0,11,26,4,-0.8486442574947509,0.5289640103269624,331,0.4327755925504312,0.901501684131884,2024-11-26,True,False
0.0,1.0,0.0,0.0,0.0,0.0,3.0,0.7071067811865476,0.7071067811865476,0.0,0.0,11,26,4,-0.8486442574947509,0.5289640103269624,331,0.4327755925504312,0.901501684131884,2024-11-26,True,False
0.0,1.0,0.0,0.0,0.0,0.0,4.0,0.8660254037844386,0.5000000000000001,0.0,0.0,11,26,4,-0.8486442574947509,0.5289640103269624,331,0.4327755925504312,0.901501684131884,2024-11-26,True,False
0.0,1.0,0.0,0.0,0.0,0.0,5.0,0.9659258262890684,0.2588190451025207,0.0,0.0,11,26,4,-0.8486442574947509,0.5289640103269624,331,0.4327755925504312,0.901501684131884,2024-11-26,True,False
0.0,1.0,0.0,0.0,0.0,0.0,6.0,1.0,6.123233995736766e-17,0.0,0.0,11,26,4,-0.8486442574947509,0.5289640103269624,331,0.4327755925504312,0.901501684131884,2024-11-26,True,False
0.0,1.0,0.0,0.0,0.0,0.0,7.0,0.9659258262890684,-0.2588190451025206,0.0,0.0,11,26,4,-0.8486442574947509,0.5289640103269624,331,0.4327755925504312,0.901501684131884,2024-11-26,True,False
0.0,1.0,0.0,0.0,0.0,0.0,8.0,0.8660254037844387,-0.4999999999999998,0.0,2.0,11,26,4,-0.8486442574947509,0.5289640103269624,331,0.4327755925504312,0.901501684131884,2024-11-26,True,False
0.0,1.0,0.0,0.0,0.0,0.0,9.0,0.7071067811865476,-0.7071067811865475,1.0,1.0,11,26,4,-0.8486442574947509,0.5289640103269624,331,0.4327755925504312,0.901501684131884,2024-11-26,True,False
