Mon,Tue,Wed,Thu,Fri,Sat,hour_sin,hour_cos,week_value,date_sin,date_cos,day_of_year,day_of_year_sin,day_of_year_cos,sch_hol_period,public_hol_period,year_quarter_Q1,year_quarter_Q2,year_quarter_Q3
0.0,0.0,0.0,0.0,0.0,0.0,1.0,6.123233995736766e-17,3,-0.101168321987432,-0.9948693233918952,351,0.2719581575341055,0.9623090774541486,True,False,False,False,False
0.0,0.0,0.0,0.0,0.0,0.0,0.9659258262890684,-0.2588190451025206,3,-0.101168321987432,-0.9948693233918952,351,0.2719581575341055,0.9623090774541486,True,False,False,False,False
0.0,0.0,0.0,0.0,0.0,0.0,0.8660254037844387,-0.4999999999999998,3,-0.101168321987432,-0.9948693233918952,351,0.2719581575341055,0.9623090774541486,True,False,False,False,False
0.0,0.0,0.0,0.0,0.0,0.0,0.7071067811865476,-0.7071067811865475,3,-0.101168321987432,-0.9948693233918952,351,0.2719581575341055,0.9623090774541486,True,False,False,False,False
0.0,0.0,0.0,0.0,0.0,0.0,0.4999999999999999,-0.8660254037844387,3,-0.101168321987432,-0.9948693233918952,351,0.2719581575341055,0.9623090774541486,True,False,False,False,False
0.0,0.0,0.0,0.0,0.0,0.0,0.258819045102521,-0.9659258262890682,3,-0.101168321987432,-0.9948693233918952,351,0.2719581575341055,0.9623090774541486,True,False,False,False,False
0.0,0.0,0.0,0.0,0.0,0.0,1.2246467991473532e-16,-1.0,3,-0.101168321987432,-0.9948693233918952,351,0.2719581575341055,0.9623090774541486,True,False,False,False,False
0.0,0.0,0.0,0.0,0.0,0.0,-0.2588190451025208,-0.9659258262890684,3,-0.101168321987432,-0.9948693233918952,351,0.2719581575341055,0.9623090774541486,True,False,False,False,False
0.0,0.0,0.0,0.0,0.0,0.0,-0.4999999999999997,-0.8660254037844388,3,-0.101168321987432,-0.9948693233918952,351,0.2719581575341055,0.9623090774541486,True,False,False,False,False
0.0,0.0,0.0,0.0,0.0,0.0,-0.7071067811865471,-0.7071067811865479,3,-0.101168321987432,-0.9948693233918952,351,0.2719581575341055,0.9623090774541486,True,False,False,False,False
0.0,0.0,0.0,0.0,0.0,0.0,-0.8660254037844385,-0.5000000000000004,3,-0.101168321987432,-0.9948693233918952,351,0.2719581575341055,0.9623090774541486,True,False,False,False,False
0.0,0.0,0.0,0.0,0.0,0.0,-0.9659258262890684,-0.2588190451025206,3,-0.101168321987432,-0.9948693233918952,351,0.2719581575341055,0.9623090774541486,True,False,False,False,False
0.0,0.0,0.0,0.0,0.0,0.0,-1.0,-1.8369701987210292e-16,3,-0.101168321987432,-0.9948693233918952,351,0.2719581575341055,0.9623090774541486,True,False,False,False,False
0.0,0.0,0.0,0.0,0.0,0.0,-0.9659258262890684,0.2588190451025203,3,-0.101168321987432,-0.9948693233918952,351,0.2719581575341055,0.9623090774541486,True,False,False,False,False
0.0,0.0,0.0,0.0,0.0,0.0,-0.8660254037844386,0.5000000000000001,3,-0.101168321987432,-0.9948693233918952,351,0.2719581575341055,0.9623090774541486,True,False,False,False,False
0.0,0.0,0.0,0.0,0.0,0.0,-0.7071067811865477,0.7071067811865474,3,-0.101168321987432,-0.9948693233918952,351,0.2719581575341055,0.9623090774541486,True,False,False,False,False
0.0,0.0,0.0,0.0,0.0,0.0,-0.5000000000000004,0.8660254037844384,3,-0.101168321987432,-0.9948693233918952,351,0.2719581575341055,0.9623090774541486,True,False,False,False,False
0.0,0.0,0.0,0.0,0.0,0.0,-0.2588190451025215,0.965925826289068,3,-0.101168321987432,-0.9948693233918952,351,0.2719581575341055,0.9623090774541486,True,False,False,False,False
0.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,3,-0.2993631229733582,-0.9541392564000488,352,0.288482432880609,0.9574851883550392,True,False,False,False,False
0.0,1.0,0.0,0.0,0.0,0.0,0.2588190451025207,0.9659258262890684,3,-0.2993631229733582,-0.9541392564000488,352,0.288482432880609,0.9574851883550392,True,False,False,False,False
0.0,1.0,0.0,0.0,0.0,0.0,0.4999999999999999,0.8660254037844387,3,-0.2993631229733582,-0.9541392564000488,352,0.288482432880609,0.9574851883550392,True,False,False,False,False
0.0,1.0,0.0,0.0,0.0,0.0,0.7071067811865476,0.7071067811865476,3,-0.2993631229733582,-0.9541392564000488,352,0.288482432880609,0.9574851883550392,True,False,False,False,False
0.0,1.0,0.0,0.0,0.0,0.0,0.8660254037844386,0.5000000000000001,3,-0.2993631229733582,-0.9541392564000488,352,0.288482432880609,0.9574851883550392,True,False,False,False,False
0.0,1.0,0.0,0.0,0.0,0.0,0.9659258262890684,0.2588190451025207,3,-0.2993631229733582,-0.9541392564000488,352,0.288482432880609,0.9574851883550392,True,False,False,False,False
0.0,1.0,0.0,0.0,0.0,0.0,1.0,6.123233995736766e-17,3,-0.2993631229733582,-0.9541392564000488,352,0.288482432880609,0.9574851883550392,True,False,False,False,False
0.0,1.0,0.0,0.0,0.0,0.0,0.9659258262890684,-0.2588190451025206,3,-0.2993631229733582,-0.9541392564000488,352,0.288482432880609,0.9574851883550392,True,False,False,False,False
0.0,1.0,0.0,0.0,0.0,0.0,0.8660254037844387,-0.4999999999999998,3,-0.2993631229733582,-0.9541392564000488,352,0.288482432880609,0.9574851883550392,True,False,False,False,False
0.0,1.0,0.0,0.0,0.0,0.0,0.7071067811865476,-0.7071067811865475,3,-0.2993631229733582,-0.9541392564000488,352,0.288482432880609,0.9574851883550392,True,False,False,False,False
0.0,1.0,0.0,0.0,0.0,0.0,0.4999999999999999,-0.8660254037844387,3,-0.2993631229733582,-0.9541392564000488,352,0.288482432880609,0.9574851883550392,True,False,False,False,False
0.0,1.0,0.0,0.0,0.0,0.0,0.258819045102521,-0.9659258262890682,3,-0.2993631229733582,-0.9541392564000488,352,0.288482432880609,0.9574851883550392,True,False,False,False,False
0.0,1.0,0.0,0.0,0.0,0.0,1.2246467991473532e-16,-1.0,3,-0.2993631229733582,-0.9541392564000488,352,0.288482432880609,0.9574851883550392,True,False,False,False,False
0.0,1.0,0.0,0.0,0.0,0.0,-0.2588190451025208,-0.9659258262890684,3,-0.2993631229733582,-0.9541392564000488,352,0.288482432880609,0.9574851883550392,True,False,False,False,False
0.0,1.0,0.0,0.0,0.0,0.0,-0.4999999999999997,-0.8660254037844388,3,-0.2993631229733582,-0.9541392564000488,352,0.288482432880609,0.9574851883550392,True,False,False,False,False
0.0,1.0,0.0,0.0,0.0,0.0,-0.7071067811865471,-0.7071067811865479,3,-0.2993631229733582,-0.9541392564000488,352,0.288482432880609,0.9574851883550392,True,False,False,False,False
0.0,1.0,0.0,0.0,0.0,0.0,-0.8660254037844385,-0.5000000000000004,3,-0.2993631229733582,-0.9541392564000488,352,0.288482432880609,0.9574851883550392,True,False,False,False,False
0.0,1.0,0.0,0.0,0.0,0.0,-0.9659258262890684,-0.2588190451025206,3,-0.2993631229733582,-0.9541392564000488,352,0.288482432880609,0.9574851883550392,True,False,False,False,False
0.0,1.0,0.0,0.0,0.0,0.0,-1.0,-1.8369701987210292e-16,3,-0.2993631229733582,-0.9541392564000488,352,0.288482432880609,0.9574851883550392,True,False,False,False,False
0.0,1.0,0.0,0.0,0.0,0.0,-0.9659258262890684,0.2588190451025203,3,-0.2993631229733582,-0.9541392564000488,352,0.288482432880609,0.9574851883550392,True,False,False,False,False
0.0,1.0,0.0,0.0,0.0,0.0,-0.8660254037844386,0.5000000000000001,3,-0.2993631229733582,-0.9541392564000488,352,0.288482432880609,0.9574851883550392,True,False,False,False,False
0.0,1.0,0.0,0.0,0.0,0.0,-0.7071067811865477,0.7071067811865474,3,-0.2993631229733582,-0.9541392564000488,352,0.288482432880609,0.9574851883550392,True,False,False,False,False
0.0,1.0,0.0,0.0,0.0,0.0,-0.5000000000000004,0.8660254037844384,3,-0.2993631229733582,-0.9541392564000488,352,0.288482432880609,0.9574851883550392,True,False,False,False,False
0.0,1.0,0.0,0.0,0.0,0.0,-0.2588190451025215,0.965925826289068,3,-0.2993631229733582,-0.9541392564000488,352,0.288482432880609,0.9574851883550392,True,False,False,False,False
0.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0,3,-0.4853019625310808,-0.8743466161445822,353,0.304921224656289,0.9523775757303974,True,False,False,False,False
0.0,0.0,1.0,0.0,0.0,0.0,0.2588190451025207,0.9659258262890684,3,-0.4853019625310808,-0.8743466161445822,353,0.304921224656289,0.9523775757303974,True,False,False,False,False
0.0,0.0,1.0,0.0,0.0,0.0,0.4999999999999999,0.8660254037844387,3,-0.4853019625310808,-0.8743466161445822,353,0.304921224656289,0.9523775757303974,True,False,False,False,False
0.0,0.0,1.0,0.0,0.0,0.0,0.7071067811865476,0.7071067811865476,3,-0.4853019625310808,-0.8743466161445822,353,0.304921224656289,0.9523775757303974,True,False,False,False,False
0.0,0.0,1.0,0.0,0.0,0.0,0.8660254037844386,0.5000000000000001,3,-0.4853019625310808,-0.8743466161445822,353,0.304921224656289,0.9523775757303974,True,False,False,False,False
0.0,0.0,1.0,0.0,0.0,0.0,0.9659258262890684,0.2588190451025207,3,-0.4853019625310808,-0.8743466161445822,353,0.304921224656289,0.9523775757303974,True,False,False,False,False
0.0,0.0,1.0,0.0,0.0,0.0,1.0,6.123233995736766e-17,3,-0.4853019625310808,-0.8743466161445822,353,0.304921224656289,0.9523775757303974,True,False,False,False,False
0.0,0.0,1.0,0.0,0.0,0.0,0.9659258262890684,-0.2588190451025206,3,-0.4853019625310808,-0.8743466161445822,353,0.304921224656289,0.9523775757303974,True,False,False,False,False
0.0,0.0,1.0,0.0,0.0,0.0,0.8660254037844387,-0.4999999999999998,3,-0.4853019625310808,-0.8743466161445822,353,0.304921224656289,0.9523775757303974,True,False,False,False,False
0.0,0.0,1.0,0.0,0.0,0.0,0.7071067811865476,-0.7071067811865475,3,-0.4853019625310808,-0.8743466161445822,353,0.304921224656289,0.9523775757303974,True,False,False,False,False
0.0,0.0,1.0,0.0,0.0,0.0,0.4999999999999999,-0.8660254037844387,3,-0.4853019625310808,-0.8743466161445822,353,0.304921224656289,0.9523775757303974,True,False,False,False,False
0.0,0.0,1.0,0.0,0.0,0.0,0.258819045102521,-0.9659258262890682,3,-0.4853019625310808,-0.8743466161445822,353,0.304921224656289,0.9523775757303974,True,False,False,False,False
0.0,0.0,1.0,0.0,0.0,0.0,1.2246467991473532e-16,-1.0,3,-0.4853019625310808,-0.8743466161445822,353,0.304921224656289,0.9523775757303974,True,False,False,False,False
0.0,0.0,1.0,0.0,0.0,0.0,-0.2588190451025208,-0.9659258262890684,3,-0.4853019625310808,-0.8743466161445822,353,0.304921224656289,0.9523775757303974,True,False,False,False,False
0.0,0.0,1.0,0.0,0.0,0.0,-0.4999999999999997,-0.8660254037844388,3,-0.4853019625310808,-0.8743466161445822,353,0.304921224656289,0.9523775757303974,True,False,False,False,False
0.0,0.0,1.0,0.0,0.0,0.0,-0.7071067811865471,-0.7071067811865479,3,-0.4853019625310808,-0.8743466161445822,353,0.304921224656289,0.9523775757303974,True,False,False,False,False
0.0,0.0,1.0,0.0,0.0,0.0,-0.8660254037844385,-0.5000000000000004,3,-0.4853019625310808,-0.8743466161445822,353,0.304921224656289,0.9523775757303974,True,False,False,False,False
0.0,0.0,1.0,0.0,0.0,0.0,-0.9659258262890684,-0.2588190451025206,3,-0.4853019625310808,-0.8743466161445822,353,0.304921224656289,0.9523775757303974,True,False,False,False,False
0.0,0.0,1.0,0.0,0.0,0.0,-1.0,-1.8369701987210292e-16,3,-0.4853019625310808,-0.8743466161445822,353,0.304921224656289,0.9523775757303974,True,False,False,False,False
0.0,0.0,1.0,0.0,0.0,0.0,-0.9659258262890684,0.2588190451025203,3,-0.4853019625310808,-0.8743466161445822,353,0.304921224656289,0.9523775757303974,True,False,False,False,False
0.0,0.0,1.0,0.0,0.0,0.0,-0.8660254037844386,0.5000000000000001,3,-0.4853019625310808,-0.8743466161445822,353,0.304921224656289,0.9523775757303974,True,False,False,False,False
0.0,0.0,1.0,0.0,0.0,0.0,-0.7071067811865477,0.7071067811865474,3,-0.4853019625310808,-0.8743466161445822,353,0.304921224656289,0.9523775757303974,True,False,False,False,False
0.0,0.0,1.0,0.0,0.0,0.0,-0.5000000000000004,0.8660254037844384,3,-0.4853019625310808,-0.8743466161445822,353,0.304921224656289,0.9523775757303974,True,False,False,False,False
0.0,0.0,1.0,0.0,0.0,0.0,-0.2588190451025215,0.965925826289068,3,-0.4853019625310808,-0.8743466161445822,353,0.304921224656289,0.9523775757303974,True,False,False,False,False
0.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,3,-0.651372482722222,-0.7587581226927911,354,0.3212696616923644,0.9469877530760752,True,False,False,False,False
0.0,0.0,0.0,1.0,0.0,0.0,0.2588190451025207,0.9659258262890684,3,-0.651372482722222,-0.7587581226927911,354,0.3212696616923644,0.9469877530760752,True,False,False,False,False
0.0,0.0,0.0,1.0,0.0,0.0,0.4999999999999999,0.8660254037844387,3,-0.651372482722222,-0.7587581226927911,354,0.3212696616923644,0.9469877530760752,True,False,False,False,False
0.0,0.0,0.0,1.0,0.0,0.0,0.7071067811865476,0.7071067811865476,3,-0.651372482722222,-0.7587581226927911,354,0.3212696616923644,0.9469877530760752,True,False,False,False,False
0.0,0.0,0.0,1.0,0.0,0.0,0.8660254037844386,0.5000000000000001,3,-0.651372482722222,-0.7587581226927911,354,0.3212696616923644,0.9469877530760752,True,False,False,False,False
0.0,0.0,0.0,1.0,0.0,0.0,0.9659258262890684,0.2588190451025207,3,-0.651372482722222,-0.7587581226927911,354,0.3212696616923644,0.9469877530760752,True,False,False,False,False
0.0,0.0,0.0,1.0,0.0,0.0,1.0,6.123233995736766e-17,3,-0.651372482722222,-0.7587581226927911,354,0.3212696616923644,0.9469877530760752,True,False,False,False,False
0.0,0.0,0.0,1.0,0.0,0.0,0.9659258262890684,-0.2588190451025206,3,-0.651372482722222,-0.7587581226927911,354,0.3212696616923644,0.9469877530760752,True,False,False,False,False
0.0,0.0,0.0,1.0,0.0,0.0,0.8660254037844387,-0.4999999999999998,3,-0.651372482722222,-0.7587581226927911,354,0.3212696616923644,0.9469877530760752,True,False,False,False,False
0.0,0.0,0.0,1.0,0.0,0.0,0.7071067811865476,-0.7071067811865475,3,-0.651372482722222,-0.7587581226927911,354,0.3212696616923644,0.9469877530760752,True,False,False,False,False
0.0,0.0,0.0,1.0,0.0,0.0,0.4999999999999999,-0.8660254037844387,3,-0.651372482722222,-0.7587581226927911,354,0.3212696616923644,0.9469877530760752,True,False,False,False,False
0.0,0.0,0.0,1.0,0.0,0.0,0.258819045102521,-0.9659258262890682,3,-0.651372482722222,-0.7587581226927911,354,0.3212696616923644,0.9469877530760752,True,False,False,False,False
0.0,0.0,0.0,1.0,0.0,0.0,1.2246467991473532e-16,-1.0,3,-0.651372482722222,-0.7587581226927911,354,0.3212696616923644,0.9469877530760752,True,False,False,False,False
0.0,0.0,0.0,1.0,0.0,0.0,-0.2588190451025208,-0.9659258262890684,3,-0.651372482722222,-0.7587581226927911,354,0.3212696616923644,0.9469877530760752,True,False,False,False,False
0.0,0.0,0.0,1.0,0.0,0.0,-0.4999999999999997,-0.8660254037844388,3,-0.651372482722222,-0.7587581226927911,354,0.3212696616923644,0.9469877530760752,True,False,False,False,False
0.0,0.0,0.0,1.0,0.0,0.0,-0.7071067811865471,-0.7071067811865479,3,-0.651372482722222,-0.7587581226927911,354,0.3212696616923644,0.9469877530760752,True,False,False,False,False
0.0,0.0,0.0,1.0,0.0,0.0,-0.8660254037844385,-0.5000000000000004,3,-0.651372482722222,-0.7587581226927911,354,0.3212696616923644,0.9469877530760752,True,False,False,False,False
0.0,0.0,0.0,1.0,0.0,0.0,-0.9659258262890684,-0.2588190451025206,3,-0.651372482722222,-0.7587581226927911,354,0.3212696616923644,0.9469877530760752,True,False,False,False,False
0.0,0.0,0.0,1.0,0.0,0.0,-1.0,-1.8369701987210292e-16,3,-0.651372482722222,-0.7587581226927911,354,0.3212696616923644,0.9469877530760752,True,False,False,False,False
0.0,0.0,0.0,1.0,0.0,0.0,-0.9659258262890684,0.2588190451025203,3,-0.651372482722222,-0.7587581226927911,354,0.3212696616923644,0.9469877530760752,True,False,False,False,False
0.0,0.0,0.0,1.0,0.0,0.0,-0.8660254037844386,0.5000000000000001,3,-0.651372482722222,-0.7587581226927911,354,0.3212696616923644,0.9469877530760752,True,False,False,False,False
0.0,0.0,0.0,1.0,0.0,0.0,-0.7071067811865477,0.7071067811865474,3,-0.651372482722222,-0.7587581226927911,354,0.3212696616923644,0.9469877530760752,True,False,False,False,False
0.0,0.0,0.0,1.0,0.0,0.0,-0.5000000000000004,0.8660254037844384,3,-0.651372482722222,-0.7587581226927911,354,0.3212696616923644,0.9469877530760752,True,False,False,False,False
0.0,0.0,0.0,1.0,0.0,0.0,-0.2588190451025215,0.965925826289068,3,-0.651372482722222,-0.7587581226927911,354,0.3212696616923644,0.9469877530760752,True,False,False,False,False
0.0,0.0,0.0,0.0,0.0,1.0,0.0,1.0,4,-0.8978045395707417,-0.4403941515576342,356,0.3536761221763716,0.9353679493131484,True,False,False,False,False
0.0,0.0,0.0,0.0,0.0,1.0,0.2588190451025207,0.9659258262890684,4,-0.8978045395707417,-0.4403941515576342,356,0.3536761221763716,0.9353679493131484,True,False,False,False,False
0.0,0.0,0.0,0.0,0.0,1.0,0.4999999999999999,0.8660254037844387,4,-0.8978045395707417,-0.4403941515576342,356,0.3536761221763716,0.9353679493131484,True,False,False,False,False
0.0,0.0,0.0,0.0,0.0,1.0,0.7071067811865476,0.7071067811865476,4,-0.8978045395707417,-0.4403941515576342,356,0.3536761221763716,0.9353679493131484,True,False,False,False,False
0.0,0.0,0.0,0.0,0.0,1.0,0.8660254037844386,0.5000000000000001,4,-0.8978045395707417,-0.4403941515576342,356,0.3536761221763716,0.9353679493131484,True,False,False,False,False
0.0,0.0,0.0,0.0,0.0,1.0,0.9659258262890684,0.2588190451025207,4,-0.8978045395707417,-0.4403941515576342,356,0.3536761221763716,0.9353679493131484,True,False,False,False,False
0.0,0.0,0.0,0.0,0.0,1.0,1.0,6.123233995736766e-17,4,-0.8978045395707417,-0.4403941515576342,356,0.3536761221763716,0.9353679493131484,True,False,False,False,False
0.0,0.0,0.0,0.0,0.0,1.0,0.9659258262890684,-0.2588190451025206,4,-0.8978045395707417,-0.4403941515576342,356,0.3536761221763716,0.9353679493131484,True,False,False,False,False
0.0,0.0,0.0,0.0,0.0,1.0,0.8660254037844387,-0.4999999999999998,4,-0.8978045395707417,-0.4403941515576342,356,0.3536761221763716,0.9353679493131484,True,False,False,False,False
0.0,0.0,0.0,0.0,0.0,1.0,0.7071067811865476,-0.7071067811865475,4,-0.8978045395707417,-0.4403941515576342,356,0.3536761221763716,0.9353679493131484,True,False,False,False,False
0.0,0.0,0.0,0.0,0.0,1.0,0.4999999999999999,-0.8660254037844387,4,-0.8978045395707417,-0.4403941515576342,356,0.3536761221763716,0.9353679493131484,True,False,False,False,False
0.0,0.0,0.0,0.0,0.0,1.0,0.258819045102521,-0.9659258262890682,4,-0.8978045395707417,-0.4403941515576342,356,0.3536761221763716,0.9353679493131484,True,False,False,False,False
0.0,0.0,0.0,0.0,0.0,1.0,1.2246467991473532e-16,-1.0,4,-0.8978045395707417,-0.4403941515576342,356,0.3536761221763716,0.9353679493131484,True,False,False,False,False
0.0,0.0,0.0,0.0,0.0,1.0,-0.2588190451025208,-0.9659258262890684,4,-0.8978045395707417,-0.4403941515576342,356,0.3536761221763716,0.9353679493131484,True,False,False,False,False
0.0,0.0,0.0,0.0,0.0,1.0,-0.4999999999999997,-0.8660254037844388,4,-0.8978045395707417,-0.4403941515576342,356,0.3536761221763716,0.9353679493131484,True,False,False,False,False
0.0,0.0,0.0,0.0,0.0,1.0,-0.7071067811865471,-0.7071067811865479,4,-0.8978045395707417,-0.4403941515576342,356,0.3536761221763716,0.9353679493131484,True,False,False,False,False
0.0,0.0,0.0,0.0,0.0,1.0,-0.8660254037844385,-0.5000000000000004,4,-0.8978045395707417,-0.4403941515576342,356,0.3536761221763716,0.9353679493131484,True,False,False,False,False
0.0,0.0,0.0,0.0,0.0,1.0,-0.9659258262890684,-0.2588190451025206,4,-0.8978045395707417,-0.4403941515576342,356,0.3536761221763716,0.9353679493131484,True,False,False,False,False
0.0,0.0,0.0,0.0,0.0,1.0,-1.0,-1.8369701987210292e-16,4,-0.8978045395707417,-0.4403941515576342,356,0.3536761221763716,0.9353679493131484,True,False,False,False,False
0.0,0.0,0.0,0.0,0.0,1.0,-0.9659258262890684,0.2588190451025203,4,-0.8978045395707417,-0.4403941515576342,356,0.3536761221763716,0.9353679493131484,True,False,False,False,False
0.0,0.0,0.0,0.0,0.0,1.0,-0.8660254037844386,0.5000000000000001,4,-0.8978045395707417,-0.4403941515576342,356,0.3536761221763716,0.9353679493131484,True,False,False,False,False
0.0,0.0,0.0,0.0,0.0,1.0,-0.7071067811865477,0.7071067811865474,4,-0.8978045395707417,-0.4403941515576342,356,0.3536761221763716,0.9353679493131484,True,False,False,False,False
